title,asin,price,currency,rating,review_count,seller,availability,url
"Sony ULT Field 1 with Massive Bass,12hrs Playtime,Hands Free Calling (with MIC),IP67(Waterproof,Dustproof,Rustproof),Sound Connect App,Wireless Bluetooth Speaker-Black",B0CXL4FQBK,8489,₹,4.5,,,,https://www.amazon.in/dp/B0CXL4FQBK
"Bose SoundLink Plus Portable Bluetooth Speaker, Wireless Outdoor Speaker, Up to 20 Hours Battery Life, Waterproof and Dustproof, Black",B0F7HVC62G,31900,₹,4.7,,,,https://www.amazon.in/dp/B0F7HVC62G
"ZEBRONICS Astra 35, Portable Bluetooth Speaker, 16 Watts, Upto 8h Backup, Dual Drivers + Dual Passive Radiators, Call Function, Bluetooth v5.3 | USB | mSD| AUX, TWS, RGB LED",B0DJ3FFC8R,759,₹,3.9,2,,,https://www.amazon.in/dp/B0DJ3FFC8R
"HAMMER Drop 5W Bluetooth Wireless Speaker with Twin Pairing, 1200 mAh Battery, 100H Standby Time, TWS Function, TF Card, USB Slot, Auto-Pairing, in-Built Mic, Type-C Charging, 52mm Driver (Beige)",B0D7SNDKW9,499,₹,4.2,1,,,https://www.amazon.in/dp/B0D7SNDKW9
"Zebronics ZEB-COUNTY 3W Wireless Bluetooth Portable Speaker With Supporting Carry Handle, USB, SD Card, AUX, FM & Call Function. (Black)",B07YNV41FT,549,₹,3.8,32,,,https://www.amazon.in/dp/B07YNV41FT
"EDNITA jbl Ultra Mini Wireless Bluetooth Speaker with Heavy Metal Electroplating Round Speaker | Wireless Power Button Controlled, Long Lasting Battery & Quick Charge Pack of 1 (Multicolor)",B0D9R1F7ZP,298,₹,3.6,935,,,https://www.amazon.in/dp/B0D9R1F7ZP
"Portronics SoundDrum 1 12W TWS Portable Bluetooth Speaker with Powerful Bass, Bluetooth 5.3V, 360° Surround Sound, USB Drive in, Type C Fast Charging(Blue)",B097D69GJ1,999,₹,4.1,12,,,https://www.amazon.in/dp/B097D69GJ1
"Dubstep Pop 1200 with Upto 16 Hrs Playtime, 52mm Dynamic Driver, TWS Pairing with 12W Output Bluetooth Wireless Speaker (Black)",B0FCFWGB8V,599,₹,4.2,816,,,https://www.amazon.in/dp/B0FCFWGB8V
"ZEBRONICS Sound Feast 90 10W Output, Portable Wireless Speaker with Bluetooth v5.0, TWS, 6.3mm with Wired Mic, USB, mSD, AUX, Mobile Holder and RGB Lights",B0C6QY4TTP,899,₹,3.8,1,,,https://www.amazon.in/dp/B0C6QY4TTP
"Boat (2025) Stone 110 Bluetooth Speaker with 3W Signature Sound, Up to 15Hrs Playback, Built-in Mic, TWS Feature, Bluetooth v5.4, AUX Port, Voice Assistant & IPX4(Groovy Grey)",B0F48NP2CV,699,₹,3.4,394,,,https://www.amazon.in/dp/B0F48NP2CV
